stock_code,stock_abbr,report_period,report_year,asset_cash_and_cash_equivalents,asset_accounts_receivable,asset_inventory,asset_trading_financial_assets,asset_construction_in_progress,asset_total_assets,liability_accounts_payable,liability_advance_from_customers,liability_contract_liabilities,liability_short_term_loans,liability_total_liabilities,equity_unappropriated_profit,equity_total_equity,asset_total_assets_yoy_growth,liability_total_liabilities_yoy_growth,asset_liability_ratio
600080,金花股份,2022FY,2022,,,,,2828.69,197441.86,1570.25,0.0,661.05,,29065.32,48093.58,168376.54,5.5733,35.8381,14.721
600080,金花股份,2023Q1,2023,,10634.79,2728.43,,19600.44,202015.43,1833.68,0.0,230.58,9900.0,33170.8,48561.67,168844.63,2.3164,14.125,16.4199
600080,金花股份,2023HY,2023,,,,,3207.44,193919.8,1318.02,0.0,433.52,,25238.96,48397.87,168680.83,-1.7839,-13.1647,13.0152
600080,金花股份,2023Q3,2023,,,,,,205883.1,1466.46,0.0,155.3,7640.54,37167.51,48432.64,168715.6,4.2753,27.8758,18.0527
600080,金花股份,2023FY,2023,,,,,11083.15,210855.11,928.48,0.0,71.87,,47012.46,44438.41,163842.65,6.7935,61.7476,22.2961
600080,金花股份,2024Q1,2024,,,,,,181501.32,1131.53,0.0,99.71,2123.85,27283.75,46834.66,154217.57,-13.9213,-41.9649,15.0323
600080,金花股份,2024HY,2024,,,,,18200.16,178790.48,742.69,0.0,829.42,4262.33,28951.53,45384.7,149838.95,-15.2069,-38.4173,16.193
600080,金花股份,2024Q3,2024,,,,,25404.46,185977.97,882.62,0.0,61.31,4262.33,34008.29,47515.43,151969.68,-11.7982,-27.6611,18.2862
600080,金花股份,2025Q1,2025,,,,,,199184.51,635.72,0.0,66.53,7946.94,43114.79,51332.11,156069.73,1.0027,4.4986,21.6457
600080,金花股份,2024FY,2024,,,,,37369.07,197207.12,781.88,0.0,97.38,3455.66,41258.74,51210.58,155948.38,-6.4727,-12.2387,20.9215
600080,金花股份,2025HY,2025,,,,,45694.48,192962.1,492.59,0.0,31.31,3455.66,37453.53,50771.94,155508.56,-2.1526,-9.2228,19.4098
600080,金花股份,2025Q3,2025,,,2805.61,,47426.09,195675.16,796.6,0.0,39.3,6230.3,37361.18,53600.56,158313.98,-0.7768,-9.4466,19.0935
000999,华润三九,2022FY,2022,250600.13,311269.86,236897.17,,40769.59,2454190.07,118860.55,0.0,147568.62,9003.59,876743.41,1215448.71,1577446.66,,,35.7243
000999,华润三九,2023Q1,2023,,,,,,3787985.4,238030.66,0.0,161161.99,143405.79,1472879.12,1491246.55,2315106.28,39.6607,53.595,38.8829
000999,华润三九,2023Q3,2023,,,,,,3869806.06,230914.83,0.0,137265.0,83856.34,1507119.15,1517568.92,2362686.91,,,38.9456
000999,华润三九,2023HY,2023,,,,,96289.96,3886556.25,234617.8,0.0,143596.3,102651.41,1589109.88,1465021.4,2297446.37,,,40.8874
000999,华润三九,2023FY,2023,314970.89,408732.39,249886.85,,94609.19,,,0.0,,,,,,,,
000999,华润三九,2024Q1,2024,,,498163.09,,58857.66,4124767.44,235883.46,0.0,178179.37,91430.6,1552131.91,1698984.7,2572635.53,2.7379,-2.2992,37.6296
000999,华润三九,2024Q3,2024,,,,,63163.27,4076992.34,235640.39,0.0,146144.96,82160.94,1470588.84,1710357.79,2606403.5,1.5479,,36.0704
000999,华润三九,2024HY,2024,,,,,64633.7,4069826.65,238219.97,0.0,147380.35,90552.27,1532439.68,1654210.52,2537386.96,1.3694,-3.5387,37.6537
000999,华润三九,2025Q1,2025,,,,,62183.4,5784639.54,287131.57,0.0,152815.29,247101.04,2250769.85,1739116.7,3533869.69,44.3202,51.8158,38.9094
000999,华润三九,2025Q3,2025,,,638694.74,,72187.55,5656398.18,228366.61,0.0,98699.03,180780.65,1918458.19,1725583.95,3737939.99,41.1208,29.4012,33.9166
000999,华润三九,2025HY,2025,,,,,65290.12,5725989.25,255137.14,0.0,117877.85,289553.48,1957941.63,1744659.76,3768047.63,42.857,32.0644,34.1939
