stock_code,stock_abbr,report_period,report_year,eps,roe,roe_weighted_excl_non_recurring,net_profit_excl_non_recurring,total_operating_revenue,net_profit_10k_yuan,operating_cf_per_share,net_asset_per_share,net_profit_margin,gross_profit_margin,operating_revenue_yoy_growth,net_profit_yoy_growth,operating_revenue_qoq_growth,net_profit_qoq_growth
600080,金花股份,2022FY,2022,0.09,2.0,0.23,381.3,57937.45,3345.95,,,5.7751,76.1864,8.4897,284.2438,,
600080,金花股份,2023Q1,2023,,,,,10825.95,468.09,,,4.3238,73.4778,-9.1781,-49.5597,,
600080,金花股份,2023HY,2023,0.06,1.29,1.21,2009.17,25536.95,2147.08,,,8.4077,76.0549,-1.2948,,,
600080,金花股份,2023Q3,2023,0.01,0.2,,2001.62,40280.5,339.03,,,0.8417,76.9332,-4.8081,-89.3485,55.6919,-84.2097
600080,金花股份,2023FY,2023,-0.11,-2.58,0.18,300.47,56540.34,-4289.06,,,-7.5858,,-2.4114,-228.1865,40.3665,-1365.0975
600080,金花股份,2024Q1,2024,,,,0.01,11578.93,2396.24,,,20.6949,76.5582,6.9553,411.9154,,100.001
600080,金花股份,2024HY,2024,0.01,0.18,1.03,1741.22,25536.95,304.26,,,1.1915,,-1.2948,-85.829,,
600080,金花股份,2024Q3,2024,0.08,1.95,,1736.87,41893.12,3077.02,,,7.3449,77.9835,4.0035,807.5946,64.049,911.2989
600080,金花股份,2025Q1,2025,0.06,1.5068,,423.95,10732.26,121.35,,,1.1307,76.2164,-7.3121,-94.9358,-80.2226,-67.8837
600080,金花股份,2024FY,2024,0.21,4.79,0.88,1377.49,58546.18,7360.05,,,12.5714,78.3399,3.5476,271.6007,39.7513,142.4795
600080,金花股份,2025HY,2025,0.03,0.6,0.64,1003.14,24129.3,618.32,,,2.5625,76.586,-1.8997,-34.6581,112.4251,-60.5095
600080,金花股份,2025Q3,2025,0.1,2.19,,2535.22,38390.84,3423.74,,,8.9181,76.5515,-8.36,11.2682,56.0822,264.3837
000999,华润三九,2022FY,2022,,,,79741.36,419438.67,83871.36,,,19.9961,,,,,
000999,华润三九,2023Q1,2023,1.16,6.54,,113121.38,635240.83,115103.02,,,18.1196,54.075,49.4605,36.8988,51.4502,37.2376
000999,华润三九,2023Q3,2023,0.54,2.96,,47618.63,1860800.6,269517.91,,,14.484,51.7915,53.649,36.2448,-100.0,-72.0064
000999,华润三九,2023HY,2023,1.91,10.74,,182738.32,1314612.57,205985.96,,,15.6689,52.2182,56.4839,42.1967,106.9471,63.0821
000999,华润三九,2023FY,2023,,,,113121.38,635240.83,115103.02,,,18.1196,,51.4502,37.2376,,119.0456
000999,华润三九,2024Q1,2024,1.39,6.94,,132784.04,729407.06,136382.6,,,18.6977,53.4206,14.8237,18.4874,14.8237,18.4874
000999,华润三九,2024Q3,2024,,,,,1974028.7,324471.75,,,16.437,52.6802,6.0849,20.3897,,
000999,华润三九,2024HY,2024,1.87,12.32,,230859.72,1410601.28,257705.34,,,18.2692,53.5633,7.3017,25.1082,93.3901,75.8553
000999,华润三九,2024FY,2024,2.63,17.33,,132784.04,729407.06,136382.6,,,18.6977,,14.8237,18.4874,,
000999,华润三九,2025Q1,2025,1.0,6.18,,121825.48,685365.64,127007.38,,,18.5313,53.2783,-6.038,-6.8742,-6.038,-6.8742
000999,华润三九,2025Q3,2025,1.78,14.99,,48857.08,2198640.4,289929.69,,,13.1868,53.5178,11.3783,-10.6456,-51.5451,-70.3861
000999,华润三九,2025HY,2025,1.09,8.8,,169770.91,1481016.02,221158.88,,,14.9329,53.5443,4.9918,-14.1815,116.0914,42.9254
