stock_code,stock_abbr,report_period,report_year,total_operating_revenue,operating_expense_cost_of_sales,operating_expense_selling_expenses,operating_expense_administrative_expenses,operating_expense_financial_expenses,operating_expense_rnd_expenses,operating_expense_taxes_and_surcharges,total_operating_expenses,operating_profit,total_profit,other_income,asset_impairment_loss,credit_impairment_loss,net_profit,operating_revenue_yoy_growth,net_profit_yoy_growth
600080,金花股份,2022FY,2022,57937.45,13797.0,34655.92,6317.6,-290.81,1549.32,1127.28,57156.3,1711.14,4790.1,156.88,-15.71,-917.5,3345.95,8.4897,284.2438
600080,金花股份,2023Q1,2023,10825.95,2871.28,6191.35,1770.84,-83.72,208.92,212.73,11171.4,497.7,490.65,0.8,,49.53,468.09,-9.1781,-49.5597
600080,金花股份,2023HY,2023,25536.95,6114.85,14704.35,3515.78,-74.51,523.33,453.91,25237.72,2203.53,385.97,3.18,,835.77,,-1.2948,
600080,金花股份,2023Q3,2023,40280.5,9291.42,24088.99,5162.78,-157.37,886.03,686.47,39958.31,2055.67,193.6,22.24,,640.42,339.03,-4.8081,-89.3485
600080,金花股份,2024Q1,2024,11578.93,2714.31,6521.83,1366.81,-68.63,232.95,139.72,10906.99,2827.02,2790.53,20.8,,-759.89,2396.24,6.9553,411.9154
600080,金花股份,2024Q3,2024,41893.12,9223.42,25071.75,3648.11,-158.96,2028.3,396.06,40208.68,3285.42,3245.72,437.8,,-843.67,3077.02,4.0035,807.5946
600080,金花股份,2025Q1,2025,10732.26,2552.51,5361.15,901.14,-137.46,1169.14,105.17,9951.66,68.68,63.09,49.95,1.79,0.77,121.35,-7.3121,-94.9358
600080,金花股份,2024FY,2024,58546.18,12681.13,35365.65,5367.11,137.41,2896.29,539.74,56987.34,4901.91,4203.93,872.06,-26.01,-998.48,7360.05,3.5476,271.6007
600080,金花股份,2025HY,2025,24129.3,5649.64,13872.08,2080.24,-227.21,1542.88,267.2,23184.83,396.51,393.4,70.56,17.19,-722.4,618.32,-1.8997,-34.6581
600080,金花股份,2025Q3,2025,38390.84,9002.09,22422.03,3382.89,-339.01,2233.1,441.5,37142.6,3477.9,3533.59,-274.39,25.84,746.2,3423.74,-8.36,11.2682
000999,华润三九,2023Q1,2023,635240.83,291734.17,140340.51,30911.31,-730.61,13259.7,6590.35,482105.42,151389.9,150985.28,3993.79,-2358.57,-3188.98,115103.02,49.4605,36.8988
000999,华润三九,2023Q3,2023,1860800.6,897064.61,476731.86,103959.53,-2051.99,45844.32,19381.92,1540930.27,325029.39,324972.18,16541.07,-7807.08,-4268.35,269517.91,53.649,36.2448
000999,华润三九,2023HY,2023,1314612.57,628145.19,328866.86,67744.76,-1318.54,29521.12,13589.28,1066548.66,249903.51,249542.55,9145.2,-1789.89,-5826.77,205985.96,56.4839,42.1967
000999,华润三九,2024Q1,2024,729407.06,339753.17,156144.56,33868.32,-2365.62,13741.74,7524.69,548666.87,179789.06,180314.56,4657.1,-2053.82,-3823.32,136382.6,14.8237,18.4874
000999,华润三九,2024Q3,2024,1974028.7,934105.5,475116.16,107353.5,-1332.65,51218.2,20166.6,1586627.31,388684.2,398460.34,19199.9,-11089.66,-10029.57,324471.75,6.0849,20.3897
000999,华润三九,2024HY,2024,1410601.28,655037.13,331144.45,70626.53,-2467.05,32646.31,14997.87,1101985.24,314745.62,315915.87,14385.47,-2518.92,-7223.25,257705.34,7.3017,25.1082
000999,华润三九,2025Q1,2025,685365.64,320214.26,149819.89,35144.04,149.2,14449.85,7814.24,527591.48,166238.03,166438.3,7513.78,808.46,171.55,127007.38,-6.038,-6.8742
000999,华润三九,2025Q3,2025,2198640.4,1021977.42,612817.8,130464.4,2040.28,84033.3,26434.52,1877767.72,342564.02,343060.99,23843.14,-7719.69,-4677.28,289929.69,11.3783,-10.6456
000999,华润三九,2025HY,2025,1481016.02,688016.63,393865.17,82919.63,736.61,45903.93,18113.56,1229555.53,262093.86,262539.21,18577.92,-5163.06,-2709.39,221158.88,4.9918,-14.1815
